ep,state,action,reward
0,"[-0.17395264 -0.04562721 -0.01851015 -0.0408545  -1.64734433  0.11729051]",-0.011015450223100354,0.999764723651265
0,"[-0.17489192 -0.04766994 -0.01906092 -0.0408545   4.64261499  0.15308861]",-0.18865226028860557,0.9991045484689782
0,"[-0.17608078 -0.04971266 -0.02849354 -0.0408545   4.65130533  0.19378452]",1.6156559649146343,0.9957787132860967
0,"[-0.17548589 -0.05175539  0.05228926 -0.0408545   4.65966804  0.14008148]",2.7267058322208415,0.9906787440677454
0,"[-0.16946304 -0.05379811  0.18862455 -0.0408545   4.66387855  0.02808491]",3.2892326697457555,0.9874776885559895
0,"[-0.15592028 -0.05584084  0.35308619 -0.0408545   4.66177454 -0.11195385]",4.4254767089561104,0.979139343542548
0,"[-0.13273412 -0.05788356  0.57436002 -0.0408545   4.65132819 -0.30486572]",3.313132011278525,0.9881955211585902
0,"[-0.0998747  -0.05992629  0.74001662 -0.0408545   4.63281363 -0.43406604]",3.34332536638091,0.9891049944229715
0,"[-0.05869472 -0.06196901  0.90718289 -0.0408545   4.60807607 -0.55326388]",1.1978226689076161,1.0005953649640593
0,"[-0.01183829 -0.06401174  0.96707402 -0.0408545   4.58038401 -0.55214362]",-0.0069994702709472514,1.0056373228547053
0,"[ 0.03650666 -0.06605446  0.96672405 -0.0408545   4.5545739  -0.47823922]",0.9387921288973335,1.0091252439706357
0,"[ 0.08601635 -0.06809719  1.01366366 -0.0408545   4.53158476 -0.43948012]",1.2680190260776067,1.012021423900142
0,"[ 0.13828456 -0.07013991  1.07706461 -0.0408545   4.51039924 -0.40622899]",0.28937476844861554,1.0166844418403254
0,"[ 0.19249951 -0.07218264  1.09153335 -0.0408545   4.49231802 -0.31564421]",1.281070059029072,1.0177749787116352
0,"[ 0.24867751 -0.07422536  1.15558685 -0.0408545   4.47774984 -0.26593177]",2.024628052095428,1.016411331045464
0,"[ 0.30898764 -0.07626809  1.25681825 -0.0408545   4.4649298  -0.24581969]",3.1763779438682436,1.010221111249895
0,"[ 0.37579902 -0.07831081  1.41563715 -0.0408545   4.45187936 -0.27505653]",4.251359556021579,1.0007880520660495
0,"[ 0.45189508 -0.08035354  1.62820513 -0.0408545   4.43625257 -0.34857763]",4.4148334102591615,0.996757277728594
0,"[ 0.53882388 -0.08239626  1.8489468  -0.0408545   4.41698574 -0.42032813]",2.5304586133019216,1.0061120771788568
0,"[ 0.63443429 -0.08443899  1.97546973 -0.0408545   4.39665199 -0.39133552]",2.209753371691885,1.0027670778175928
0,"[ 0.73596997 -0.08648172  2.0859574  -0.0408545   4.37839307 -0.33754802]",2.7737494065654915,0.992261802214049
0,"[ 0.84373503 -0.08852444  2.22464487 -0.0408545   4.36237065 -0.30202292]",1.9488700945532744,0.9847344185017166
0,"[ 0.95740336 -0.09056717  2.32208837 -0.0408545   4.34927868 -0.2206494 ]",2.9434561278903675,0.9643904661603213
0,"[ 1.0771871  -0.09260989  2.46926118 -0.0408545   4.33923313 -0.18035349]",2.6619043062821204,0.9453742887059486
