ep,state,action,reward
5,"[-0.39011238 -0.04596464 -2.56624537 -0.21260106  1.29518015 -2.49870881]",25.0,0.4233140330964553
5,"[-0.48717465 -0.0565947  -1.31624537 -0.21260106  1.19646488 -1.46506096]",0,0.46921821884540793
5,"[-0.55298692 -0.06722475 -1.31624537 -0.21260106  1.11863401 -1.65385128]",0,0.41934431193285915
6,"[ 0.08951187 -0.02537386 -0.03441979  0.09045483  1.52511429 -0.02637252]",0,1.173182603648811
6,"[ 0.08779088 -0.02085112 -0.03441979  0.09045483  1.52323339 -0.04899819]",25.0,1.17022420881014
6,"[ 0.11731989 -0.01632838  1.21558021  0.09045483  1.55142816  1.17825504]",25.0,0.717357542532685
6,"[ 0.2093489  -0.01180564  2.46558021  0.09045483  1.64145244  2.42854849]",-25.0,0.5151603280781495
6,"[ 0.30137791 -0.0072829   1.21558021  0.09045483  1.73285965  1.2384123 ]",25.0,0.5981421090697857
6,"[ 0.39340692 -0.00276016  2.46558021  0.09045483  1.82755667  2.55184231]",-25.0,0.4187226065011145
6,"[4.85435934e-01 1.76258380e-03 1.21558021e+00 9.04548287e-02
 1.92854360e+00 1.50282270e+00]",-25.0,0.46774383029280475
6,"[ 0.51496494  0.00628533 -0.03441979  0.09045483  1.97903654  0.52553601]",-25.0,0.5486851914796546
6,"[ 0.48199395  0.01080807 -1.28441979  0.09045483  1.98158715 -0.42228111]",0,0.5770470762045368
6,"[ 0.41777296  0.01533081 -1.28441979  0.09045483  1.96534458 -0.22880863]",0,0.6377449459712214
6,"[ 0.35355198  0.01985355 -1.28441979  0.09045483  1.95860425 -0.04147302]",25.0,0.7022792121583337
6,"[ 0.32058099  0.02437629 -0.03441979  0.09045483  1.9900428   1.29769094]",-25.0,0.5593589336824547
6,"[ 0.28761     0.02889903 -1.28441979  0.09045483  2.03168062  0.37543152]",0,0.687121384808888
6,"[ 0.22338901  0.03342177 -1.28441979  0.09045483  2.05592821  0.59605409]",0,0.6920355062515718
6,"[ 0.15916802  0.03794452 -1.28441979  0.09045483  2.09148264  0.82847839]",-25.0,0.6929132979211502
7,"[-0.11173087  0.081924    0.07538607  0.11982077  1.53606565 -0.10863371]",25.0,1.142021407068168
7,"[-0.07671157  0.08791504  1.32538607  0.11982077  1.56144513  1.12496453]",-25.0,0.7501543087441795
7,"[-0.04169226  0.09390608  0.07538607  0.11982077  1.58640808 -0.12332929]",25.0,1.1930319199023556
7,"[-0.00667296  0.09989712  1.32538607  0.11982077  1.61167896  1.13502274]",0,0.7914916600241737
7,"[0.05959634 0.10588816 1.32538607 0.11982077 1.66902086 1.16331472]",-25.0,0.7509154331463535
7,"[ 0.09461565  0.11187919  0.07538607  0.11982077  1.69741873 -0.02340991]",25.0,1.163989119413439
7,"[0.12963495 0.11787023 1.32538607 0.11982077 1.7287854  1.27859803]",-25.0,0.6883695943311788
7,"[0.16465425 0.12386127 0.07538607 0.11982077 1.76395855 0.13343228]",0,1.086939879553746
7,"[0.16842356 0.12985231 0.07538607 0.11982077 1.77299495 0.22866904]",-25.0,1.0676226462103358
7,"[ 0.14094286  0.13584335 -1.17461393  0.11982077  1.75628017 -0.8983126 ]",25.0,0.7334493793044966
7,"[0.11346216 0.14183439 0.07538607 0.11982077 1.74433489 0.41888082]",25.0,1.077236119153903
7,"[0.14848147 0.14782543 1.32538607 0.11982077 1.79814848 1.73464228]",0,0.6133395665002026
7,"[0.21475077 0.15381646 1.32538607 0.11982077 1.88777161 1.85724821]",0,0.5582948005772113
7,"[0.28102008 0.1598075  1.32538607 0.11982077 1.98458223 2.02244048]",-25.0,0.5015738008349032
7,"[0.31603938 0.16579854 0.07538607 0.11982077 2.06253089 1.10919176]",0,0.5751142227362184
8,"[ 6.92497929e-02 -6.38233867e-04 -7.03437242e-03 -4.05003273e-02
  1.54214209e+00 -1.70637229e-01]",-25.0,1.1628564001624606
8,"[ 0.03764807 -0.00266325 -1.25703437 -0.04050033  1.50200577 -1.43662367]",0,0.725480212881754
8,"[-0.02520364 -0.00468827 -1.25703437 -0.04050033  1.42921892 -1.48074153]",0,0.7217843012073573
8,"[-0.08805536 -0.00671328 -1.25703437 -0.04050033  1.35333773 -1.56055301]",0,0.6688587495503872
8,"[-0.15090708 -0.0087383  -1.25703437 -0.04050033  1.27254915 -1.67728888]",0,0.6129671151951216
8,"[-0.2137588  -0.01076332 -1.25703437 -0.04050033  1.18496515 -1.83269593]",0,0.5551471893169616
8,"[-0.27661052 -0.01278833 -1.25703437 -0.04050033  1.08860063 -2.02887765]",0,0.4963585535361448
9,"[-0.15579384  0.12799478 -0.0464471  -0.20043711  1.61778007  0.01811596]",-25.0,1.124686637579177
9,"[-0.18936619  0.11797293 -1.2964471  -0.20043711  1.58803024 -1.20970509]",0,0.6707377108924277
9,"[-0.25418855  0.10795107 -1.2964471  -0.20043711  1.52766074 -1.21001887]",0,0.6333913637575496
9,"[-0.3190109   0.09792922 -1.2964471  -0.20043711  1.46653557 -1.23995594]",0,0.5920819021095955
9,"[-0.38383326  0.08790736 -1.2964471  -0.20043711  1.4031649  -1.29996242]",0,0.5486373705263019
9,"[-0.44865561  0.0778855  -1.2964471  -0.20043711  1.33602181 -1.39107244]",0,0.5038913495179759
9,"[-0.51347797  0.06786365 -1.2964471  -0.20043711  1.26351375 -1.51486649]",0,0.4584871963076983
9,"[-0.57830032  0.05784179 -1.2964471  -0.20043711  1.18395696 -1.67339781]",0,0.4129737073683481
9,"[-0.64312268  0.04781994 -1.2964471  -0.20043711  1.09555565 -1.86906529]",0,0.3678516319457498
10,"[ 0.02878753  0.04135833 -0.12681362  0.03021191  1.5907905  -0.0463675 ]",0,1.217588871779904
10,"[ 0.02244685  0.04286892 -0.12681362  0.03021191  1.58871372 -0.03688199]",0,1.2244832424223644
10,"[ 0.01610617  0.04437952 -0.12681362  0.03021191  1.58708649 -0.02834776]",0,1.2312078903911647
10,"[ 0.00976548  0.04589011 -0.12681362  0.03021191  1.58586668 -0.0205509 ]",-25.0,1.2378042693706854
10,"[-0.0278252   0.04740071 -1.37681362  0.03021191  1.55376282 -1.26517501]",0,0.758947884758193
10,"[-0.09666588  0.0489113  -1.37681362  0.03021191  1.49019524 -1.28271385]",0,0.7121315566036319
10,"[-0.16550656  0.0504219  -1.37681362  0.03021191  1.42497169 -1.33149486]",0,0.6616443455827836
10,"[-0.23434724  0.05193249 -1.37681362  0.03021191  1.35651279 -1.41230914]",0,0.6088203676805978
10,"[-0.30318792  0.05344309 -1.37681362  0.03021191  1.28318497 -1.52652433]",0,0.5546307978294323
10,"[-0.3720286   0.05495369 -1.37681362  0.03021191  1.20327323 -1.67601492]",0,0.49989156958473274
10,"[-0.44086928  0.05646428 -1.37681362  0.03021191  1.11495853 -1.86304192]",0,0.445335403777278
11,"[-0.05855786  0.05000762 -0.02285932 -0.07741143  1.57914613  0.02546113]",0,1.198726988602083
11,"[-0.05970083  0.04613705 -0.02285932 -0.07741143  1.58052363  0.02974796]",0,1.19699357199514
11,"[-0.06084379  0.04226647 -0.02285932 -0.07741143  1.5821327   0.0347426 ]",0,1.1951204342083845
11,"[-0.06198676  0.0383959  -0.02285932 -0.07741143  1.58401164  0.04056393]",0,1.1930837369430918
11,"[-0.06312972  0.03452533 -0.02285932 -0.07741143  1.58620515  0.04735052]",-25.0,1.1908556461679107
11,"[-0.09552269  0.03065476 -1.27285932 -0.07741143  1.55750627 -1.19661188]",0,0.7279809925018272
11,"[-0.15916566  0.02678419 -1.27285932 -0.07741143  1.49741813 -1.21181762]",0,0.6857559059265531
11,"[-0.22280862  0.02291362 -1.27285932 -0.07741143  1.43583309 -1.25656338]",0,0.6401452043679312
11,"[-0.28645159  0.01904305 -1.27285932 -0.07741143  1.37125792 -1.33159481]",0,0.5922870675151503
11,"[-0.35009455  0.01517247 -1.27285932 -0.07741143  1.3021478  -1.43822575]",0,0.5429856213376479
11,"[-0.41373752  0.0113019  -1.27285932 -0.07741143  1.22687902 -1.5782843 ]",0,0.49291020585030937
11,"[-0.47738049  0.00743133 -1.27285932 -0.07741143  1.14372547 -1.75401846]",0,0.4426628612126692
11,"[-0.54102345  0.00356076 -1.27285932 -0.07741143  1.05084132 -1.96793494]",0,0.39281841063973855
12,"[ 0.13305674  0.09390021  0.0448036   0.13794319  1.72159683 -0.06726219]",-25.0,1.1252298567727685
12,"[ 0.10404692  0.10079737 -1.2051964   0.13794319  1.68913837 -1.23362826]",0,0.7124590429167532
12,"[ 0.0437871   0.10769453 -1.2051964   0.13794319  1.62880907 -1.18450729]",0,0.7597560720812234
12,"[-0.01647272  0.11459169 -1.2051964   0.13794319  1.57020153 -1.16460962]",0,0.7818067789945574
12,"[-0.07673253  0.12148885 -1.2051964   0.13794319  1.5118717  -1.17335178]",0,0.7411288940963815
12,"[-0.13699235  0.12838601 -1.2051964   0.13794319  1.45238958 -1.21075453]",0,0.6962472003187699
12,"[-0.19725217  0.13528317 -1.2051964   0.13794319  1.39030923 -1.27743096]",0,0.6484687770714799
12,"[-0.25751199  0.14218033 -1.2051964   0.13794319  1.32413973 -1.37456309]",0,0.5986307910269036
12,"[-0.31777181  0.14907749 -1.2051964   0.13794319  1.25231765 -1.50385953]",0,0.5474203347405956
12,"[-0.37803163  0.15597465 -1.2051964   0.13794319  1.17318243 -1.66748047]",0,0.49545480517765217
12,"[-0.43829145  0.16287181 -1.2051964   0.13794319  1.08495675 -1.8679078 ]",-25.0,0.4433272522048271
13,"[ 0.03756224  0.05302476  0.04748643 -0.10748614  1.59984117  0.17837959]",0,1.1853384330640355
13,"[ 0.03993656  0.04765045  0.04748643 -0.10748614  1.60913048  0.19394034]",0,1.1802072244427397
13,"[ 0.04231088  0.04227614  0.04748643 -0.10748614  1.61931293  0.21417409]",0,1.1741341063338158
13,"[ 0.0446852   0.03690184  0.04748643 -0.10748614  1.63063344  0.23955078]",25.0,1.1670277573508607
13,"[ 0.07830952  0.03152753  1.29748643 -0.10748614  1.67454907  1.51883313]",0,0.688372448988229
13,"[ 0.14318384  0.02615322  1.29748643 -0.10748614  1.75187891  1.58057766]",25.0,0.6390165082651105
13,"[ 0.23930817  0.02077892  2.54748643 -0.10748614  1.86378178  2.89785409]",0,0.44549632449641785
13,"[ 0.36668249  0.01540461  2.54748643 -0.10748614  2.0124142   3.05865847]",0,0.3759083265593173
14,"[ 0.12633566 -0.05775644 -0.07385412  0.16423677  1.58329571  0.03914703]",0,1.1443314323564509
